TransactionAmount,TransactionDuration,AccountBalance,TransactionGap,CustomerAge_Bin,TransactionType,Channel,CustomerOccupation,Target
328.47,119.0,4323.66,-39878861.0,Old,Debit,ATM,Retired,3
34.02000000000001,19.0,14214.48,-57427104.0,Middle,Debit,Online,Doctor,0
241.42,116.0,13357.02,-48690680.0,Old,Credit,Online,Doctor,2
55.31999999999999,117.0,241.78999999999996,-49392266.0,Young,Debit,ATM,Student,4
304.31,33.0,868.6099999999997,-40317445.0,Young,Debit,Branch,Student,4
435.27,90.0,4673.28,-34266103.0,Old,Debit,Branch,Retired,3
164.49,75.0,1509.27,-28224535.0,Young,Debit,Branch,Student,4
510.24,105.0,781.6999999999998,-33838915.0,Young,Debit,Online,Student,4
626.9,138.0,265.5100000000002,-29604087.0,Young,Debit,Online,Student,1
22.00999999999999,175.0,1335.0900000000001,-50772073.0,Middle,Credit,Online,Engineer,0
425.34,121.0,3907.54,-54400048.0,Old,Credit,Online,Retired,0
424.56,264.0,5183.85,-53706072.0,Middle,Debit,Online,Engineer,3
85.43,145.0,14904.899999999998,-44551271.0,Old,Debit,Branch,Doctor,2
169.5,142.0,918.8800000000001,-36602251.0,Young,Debit,Branch,Student,4
104.63,90.0,4477.78,-50595806.0,Old,Debit,ATM,Retired,0
316.95,83.0,1324.0299999999997,-39536135.0,Young,Debit,Branch,Student,4
60.53999999999999,52.0,3534.93,-28131440.0,Old,Credit,Branch,Retired,3
292.56,61.00000000000001,4638.37,-52842608.0,Old,Credit,Branch,Retired,0
386.52,28.0,5630.61,-44380134.0,Middle,Debit,Branch,Engineer,0
112.07,51.0,930.3000000000002,-34443375.0,Young,Debit,Branch,Student,4
568.52,152.0,5499.91,-34090020.0,Middle,Debit,ATM,Engineer,1
263.99,227.0,4175.02,-46454613.0,Old,Debit,Branch,Retired,3
349.64,226.0,6651.62,-31331986.0,Middle,Debit,Online,Engineer,3
601.4,104.0,8458.29,-45239076.0,Old,Credit,Branch,Engineer,1
5.769999999999982,124.0,13988.119999999999,-31766992.0,Middle,Debit,Online,Doctor,2
201.33,186.0,2585.07,-50598670.0,Middle,Credit,Branch,Engineer,3
298.42,225.0,3014.75,-48268728.0,Old,Debit,Branch,Retired,3
521.06,128.0,1951.42,-48864683.0,Young,Debit,Branch,Student,4
117.28,16.0,3665.77,-54747138.0,Old,Credit,Online,Engineer,0
189.12,103.0,977.0100000000002,-30813974.0,Young,Credit,Branch,Engineer,4
133.55,220.0,3846.28,-41011098.0,Middle,Debit,ATM,Engineer,3
143.21,135.0,6374.82,-57078550.0,Middle,Debit,Online,Engineer,0
24.769999999999982,55.0,5866.01,-42213102.0,Old,Debit,ATM,Retired,0
233.92,280.0,6537.62,-32886857.0,Young,Credit,Online,Student,3
899.4200000000001,24.0,605.9499999999998,-34270222.0,Young,Debit,Branch,Student,1
232.12,51.0,6689.87,-26923094.0,Middle,Debit,ATM,Engineer,2
211.36,113.0,634.1700000000001,-44115270.0,Young,Debit,Online,Student,4
91.53,69.0,14676.05,-51982764.0,Middle,Debit,Branch,Doctor,2
120.29000000000002,77.0,1362.3900000000003,-27782423.0,Young,Debit,Branch,Student,4
174.25,67.0,10528.34,-41087758.0,Middle,Debit,Online,Doctor,2
183.71,102.0,552.5199999999995,-43508861.0,Middle,Debit,ATM,Engineer,0
345.39,80.0,6451.96,-43508766.0,Old,Credit,Branch,Engineer,0
899.4200000000001,87.0,4715.84,-56216299.0,Old,Debit,ATM,Retired,1
259.91,170.0,7176.86,-31419328.0,Middle,Debit,Online,Doctor,2
154.71,157.0,1523.7200000000003,-42305358.0,Middle,Debit,Online,Doctor,3
899.4200000000001,30.0,8654.28,-34699483.0,Middle,Credit,Online,Engineer,1
24.560000000000002,69.0,9869.93,-32885070.0,Old,Debit,Branch,Doctor,2
568.07,115.0,10556.81,-37465419.0,Middle,Debit,ATM,Doctor,2
9.610000000000014,179.0,12883.91,-43248701.0,Old,Credit,Online,Doctor,2
392.96,100.0,791.6499999999996,-30210029.0,Young,Debit,Online,Student,4
716.93,34.0,4064.02,-35997519.0,Old,Credit,Online,Retired,1
223.85,55.0,2929.91,-34443111.0,Middle,Debit,ATM,Engineer,3
230.66,135.0,618.0500000000002,-50766880.0,Young,Debit,Branch,Student,4
442.12,260.0,1375.8000000000002,-27531078.0,Young,Debit,Online,Student,1
644.17,72.0,1143.5199999999995,-52934575.0,Young,Debit,ATM,Engineer,4
508.68,127.0,7708.41,-42911562.0,Middle,Credit,Branch,Engineer,2
858.6299999999999,185.0,1872.96,-48869004.0,Young,Credit,Branch,Student,1
25.360000000000014,78.0,201.03999999999996,-41094161.0,Old,Debit,ATM,Engineer,4
147.62,133.0,2115.8,-37118480.0,Old,Debit,Branch,Retired,3
115.01999999999998,175.0,7643.66,-36258574.0,Middle,Debit,Branch,Doctor,2
383.37,24.0,8901.93,-56126831.0,Young,Debit,Branch,Engineer,0
98.54000000000002,167.0,9383.43,-38937076.0,Young,Credit,Online,Student,3
83.24000000000001,164.0,1181.3100000000004,-33226541.0,Middle,Debit,Branch,Doctor,3
196.16,146.0,9418.86,-53451549.0,Young,Debit,Branch,Engineer,0
129.94,235.0,7954.92,-58030233.0,Young,Debit,ATM,Engineer,3
306.9,51.0,9418.08,-29345985.0,Middle,Debit,Online,Engineer,2
114.98000000000002,80.0,6144.68,-31850243.0,Old,Debit,Online,Retired,3
756.59,17.0,420.64999999999964,-52586678.0,Young,Debit,Branch,Student,4
503.76,35.0,447.8199999999997,-29597793.0,Young,Debit,Online,Student,4
143.03,147.0,7981.45,-39886376.0,Old,Debit,ATM,Retired,3
899.4200000000001,73.0,1829.9,-30038036.0,Middle,Debit,ATM,Retired,1
245.54,180.0,985.0600000000004,-51291655.0,Young,Debit,ATM,Student,4
254.37,174.0,8849.26,-48692406.0,Middle,Credit,Online,Engineer,2
213.76,282.0,3528.72,-53014642.0,Old,Credit,ATM,Retired,3
327.86,104.0,480.15999999999985,-54659622.0,Middle,Debit,Online,Engineer,0
2.5,107.0,12145.27,-40750002.0,Middle,Debit,Online,Doctor,2
300.08,46.999999999999986,13546.75,-33836975.0,Old,Credit,Online,Doctor,2
56.97999999999999,122.0,5688.37,-26580812.0,Middle,Credit,ATM,Engineer,2
407.65,62.0,8346.64,-41961364.0,Young,Debit,Online,Engineer,3
115.82999999999998,167.0,6481.04,-45932410.0,Middle,Debit,Branch,Engineer,0
53.56999999999999,121.0,1651.33,-38505091.0,Old,Debit,ATM,Retired,4
63.34,165.0,11174.94,-30470891.0,Middle,Credit,Online,Doctor,2
317.87,91.0,145.5,-30470970.0,Young,Debit,Online,Student,4
331.65,61.00000000000001,4172.57,-37723493.0,Middle,Debit,Online,Engineer,3
5.0400000000000205,41.0,5558.36,-29604734.0,Old,Debit,ATM,Retired,3
214.54,247.0,11151.53,-39536712.0,Old,Credit,Online,Doctor,2
598.81,158.0,1415.52,-36861698.0,Old,Debit,Branch,Doctor,1
841.28,80.0,1103.6400000000003,-39105332.0,Young,Debit,Online,Student,1
38.150000000000006,108.0,303.6800000000003,-36604802.0,Young,Debit,Online,Student,4
899.4200000000001,144.0,5541.57,-41614171.0,Old,Debit,Branch,Doctor,1
124.72,105.0,6309.8,-42303198.0,Middle,Debit,Branch,Engineer,0
302.45,40.0,5133.61,-35045899.0,Old,Credit,Branch,Retired,3
208.04,273.0,9344.98,-30207523.0,Middle,Debit,Online,Engineer,2
5.769999999999982,254.0,1117.9700000000003,-30465826.0,Young,Credit,Branch,Student,4
381.33,75.0,11835.35,-38071407.0,Old,Debit,ATM,Doctor,2
16.160000000000025,124.0,14401.169999999998,-33232343.0,Middle,Debit,ATM,Doctor,2
486.08,68.0,1748.69,-43425913.0,Young,Debit,Online,Student,4
336.39,18.0,1000.46,-56819779.0,Young,Debit,Branch,Student,4
899.4200000000001,118.0,6810.05,-30038466.0,Old,Debit,Online,Doctor,1
234.57,120.0,263.9800000000005,-37123179.0,Young,Debit,Online,Student,4
6.0,246.0,5442.76,-32621488.0,Young,Debit,Online,Doctor,3
899.4200000000001,21.0,2037.85,-32628001.0,Old,Debit,ATM,Retired,1
227.14,294.0,341.9399999999996,-42301766.0,Young,Debit,ATM,Student,4
233.74,17.0,1066.5899999999997,-32542217.0,Old,Credit,Online,Retired,3
211.36,166.0,6077.96,-35046779.0,Old,Credit,Branch,Retired,3
45.849999999999994,92.0,1659.15,-54137414.0,Young,Debit,ATM,Student,4
899.4200000000001,296.0,2042.2200000000003,-37291704.0,Old,Debit,Branch,Retired,1
211.36,142.0,421.9300000000003,-49296733.0,Middle,Debit,Online,Doctor,0
415.5,141.0,10113.66,-40146060.0,Old,Debit,ATM,Doctor,2
265.76,92.0,4446.17,-55002203.0,Middle,Debit,Online,Retired,0
69.4,113.0,6452.77,-40485621.0,Old,Debit,Online,Retired,3
332.93,293.0,2788.2,-30209906.0,Middle,Credit,Branch,Engineer,3
267.9,160.0,596.1599999999999,-33837347.0,Young,Debit,Online,Student,4
496.03,265.0,12904.66,-31677829.0,Old,Debit,Branch,Doctor,2
376.26,245.0,9062.4,-54228527.0,Middle,Debit,ATM,Engineer,3
83.01999999999998,171.0,9009.56,-36857470.0,Middle,Credit,Online,Engineer,2
93.25999999999999,72.0,1152.1999999999994,-40232952.0,Young,Credit,Online,Student,4
803.3699999999999,129.0,12168.37,-48960006.0,Old,Credit,Branch,Doctor,1
35.75999999999999,122.0,611.8599999999997,-35562802.0,Young,Debit,Branch,Student,4
28.53,99.0,8670.53,-45156531.0,Old,Debit,Online,Doctor,0
139.53,177.0,10098.86,-33835642.0,Middle,Credit,Online,Doctor,2
307.57,285.0,5307.74,-57426872.0,Middle,Debit,Branch,Doctor,3
60.650000000000006,53.0,1047.2800000000002,-45582854.0,Old,Credit,Branch,Retired,4
74.86000000000001,125.0,6921.48,-38672662.0,Old,Debit,Branch,Doctor,3
211.36,137.0,1475.46,-29855869.0,Middle,Debit,Branch,Retired,3
231.91,165.0,112.76000000000022,-55518053.0,Middle,Debit,ATM,Engineer,0
126.20999999999998,268.0,5669.66,-54316901.0,Old,Debit,Branch,Retired,3
506.28,162.0,1309.9499999999998,-47660740.0,Middle,Credit,Online,Retired,1
304.35,36.0,4057.1,-28998071.0,Young,Debit,Branch,Engineer,3
281.85,109.0,1585.98,-46449661.0,Young,Debit,ATM,Student,4
777.88,17.0,6825.55,-51376263.0,Young,Debit,Branch,Engineer,1
119.18,96.0,5516.5,-37721156.0,Old,Debit,Branch,Retired,3
177.19,43.0,5343.3,-46536062.0,Old,Debit,Online,Retired,0
260.88,36.0,903.0500000000002,-45328602.0,Young,Debit,Branch,Student,4
169.47,19.0,1806.1599999999999,-51206243.0,Young,Debit,Online,Student,4
73.23000000000002,14.0,787.7399999999998,-46192699.0,Young,Debit,Branch,Student,4
899.4200000000001,106.0,2429.68,-54655438.0,Young,Debit,ATM,Engineer,1
792.57,164.0,770.3699999999999,-45935283.0,Young,Debit,ATM,Student,1
237.06,46.000000000000014,1182.77,-27789633.0,Old,Debit,Online,Retired,3
34.170000000000016,54.0,726.5500000000002,-30121726.0,Middle,Credit,Online,Engineer,3
740.25,123.0,14464.3,-40921469.0,Middle,Debit,Online,Doctor,1
453.54,82.0,12046.3,-48785763.0,Old,Debit,ATM,Doctor,2
300.47,100.0,7885.64,-30815768.0,Old,Debit,Branch,Retired,3
110.93,201.0,1952.35,-49822358.0,Young,Credit,Branch,Student,4
201.69,299.0,7328.52,-57943420.0,Old,Debit,ATM,Doctor,3
399.21,109.0,3210.39,-55612352.0,Old,Debit,ATM,Engineer,0
899.4200000000001,57.0,5726.2,-36688962.0,Old,Debit,Online,Retired,1
630.36,52.0,1363.65,-52934422.0,Old,Debit,ATM,Retired,4
10.939999999999998,245.0,1241.9899999999998,-32626066.0,Old,Credit,ATM,Engineer,3
215.9,235.0,7873.28,-57859694.0,Middle,Debit,ATM,Doctor,0
899.4200000000001,165.0,5674.32,-41696252.0,Old,Debit,Branch,Retired,1
226.37,141.0,9840.04,-35650968.0,Middle,Debit,Branch,Doctor,2
444.89,101.0,10328.23,-36258251.0,Middle,Credit,Branch,Doctor,2
280.57,24.0,293.2399999999998,-55866919.0,Young,Credit,Online,Student,4
488.54,132.0,7486.63,-42301177.0,Middle,Debit,Branch,Engineer,2
3.3000000000000114,131.0,11385.37,-50772475.0,Middle,Credit,Branch,Doctor,0
199.39,165.0,7264.79,-38073164.0,Old,Debit,Branch,Retired,3
20.360000000000014,75.0,2762.48,-40489737.0,Old,Debit,Branch,Retired,0
113.63999999999999,32.0,6675.03,-32540294.0,Middle,Debit,Online,Retired,3
493.11,236.0,7432.99,-39886955.0,Middle,Debit,Branch,Retired,3
307.41,14.0,1057.0,-44116616.0,Young,Debit,ATM,Student,4
11.180000000000007,161.0,5956.89,-29344658.0,Middle,Debit,Online,Doctor,2
313.82,151.0,7261.59,-30633064.0,Old,Debit,Branch,Engineer,3
51.0,107.0,4943.16,-55613265.0,Old,Debit,Branch,Retired,0
140.98,100.0,8127.48,-45675471.0,Old,Debit,Branch,Engineer,0
288.04,63.0,1748.02,-37812159.0,Old,Debit,ATM,Retired,3
800.55,108.0,9660.22,-47490318.0,Young,Debit,ATM,Engineer,1
485.54,143.0,6371.51,-55002287.0,Middle,Debit,ATM,Engineer,0
521.15,214.0,9442.47,-54049886.0,Middle,Debit,ATM,Doctor,2
321.79,112.0,5959.2,-39278368.0,Old,Credit,ATM,Retired,3
304.93,158.0,13531.219999999998,-53451893.0,Old,Debit,ATM,Doctor,2
432.08,145.0,11500.62,-39888411.0,Middle,Debit,ATM,Doctor,2
694.2,72.0,1389.37,-28741635.0,Old,Debit,ATM,Retired,1
116.86000000000001,171.0,6706.56,-51371007.0,Middle,Debit,ATM,Engineer,0
211.36,149.0,7175.29,-52841278.0,Old,Credit,Branch,Doctor,0
74.88,202.0,420.6700000000001,-45762116.0,Young,Debit,ATM,Student,4
211.36,99.0,7323.53,-45935549.0,Old,Debit,Branch,Retired,0
134.7,106.0,8395.85,-38074069.0,Middle,Debit,ATM,Doctor,2
890.24,161.0,5140.93,-41954629.0,Middle,Credit,Online,Engineer,1
361.27,180.0,7945.57,-57683294.0,Old,Debit,ATM,Doctor,0
131.56,42.0,5873.54,-32973875.0,Middle,Debit,Branch,Doctor,3
485.51,37.0,3074.45,-29517515.0,Old,Credit,Online,Retired,3
547.87,131.0,6155.76,-41698504.0,Old,Debit,ATM,Retired,1
457.3,15.0,8318.29,-42903752.0,Young,Debit,Online,Engineer,0
506.24,64.0,230.09000000000015,-57079634.0,Old,Debit,ATM,Engineer,0
486.59,119.0,2513.56,-27702885.0,Old,Debit,Branch,Retired,3
163.68,292.0,10090.05,-34789804.0,Middle,Debit,Branch,Doctor,2
581.65,176.0,480.1899999999996,-57424481.0,Young,Debit,ATM,Student,4
52.00999999999999,85.0,1120.8799999999997,-31332323.0,Middle,Debit,ATM,Doctor,3
630.24,62.0,370.8100000000004,-29426482.0,Young,Debit,ATM,Student,1
523.74,159.0,13498.55,-31764615.0,Middle,Debit,ATM,Doctor,2
705.6,124.0,14804.7,-53789241.0,Middle,Debit,Branch,Doctor,2
217.5,35.0,3057.4,-32620330.0,Middle,Credit,Branch,Engineer,3
91.48000000000002,141.0,14942.779999999999,-56215126.0,Middle,Debit,ATM,Doctor,2
5.25,49.0,14143.32,-30807958.0,Middle,Debit,ATM,Doctor,2
54.03,161.0,6736.3,-35563850.0,Old,Credit,ATM,Retired,3
736.73,10.0,3313.07,-29606727.0,Middle,Debit,Branch,Engineer,1
368.91,14.0,829.71,-52237231.0,Middle,Debit,Branch,Doctor,0
33.06000000000003,170.0,1540.87,-56736182.0,Middle,Credit,Online,Retired,0
66.5,144.0,6820.23,-47488990.0,Young,Credit,Online,Engineer,0
177.08,85.0,13475.14,-57682537.0,Middle,Debit,Branch,Doctor,0
588.54,130.0,714.4499999999998,-55001589.0,Young,Debit,Branch,Engineer,4
173.5,282.0,1306.9099999999999,-32626532.0,Young,Debit,ATM,Student,4
78.32999999999998,189.0,7255.33,-39887706.0,Old,Credit,Online,Engineer,3
40.66,156.0,1153.8399999999997,-26582559.0,Old,Debit,Branch,Retired,3
97.22,55.0,6647.73,-53793658.0,Old,Credit,Branch,Retired,0
34.06999999999999,81.0,8709.77,-31416263.0,Young,Debit,Branch,Student,3
492.06,74.0,857.8999999999996,-32975741.0,Young,Debit,Online,Student,4
842.01,185.0,509.4499999999998,-36170706.0,Middle,Credit,Online,Doctor,1
73.55000000000001,158.0,2812.06,-57427293.0,Middle,Debit,ATM,Engineer,0
760.53,118.0,6179.91,-36856570.0,Old,Debit,Online,Engineer,1
273.08,134.0,6609.3,-55612729.0,Middle,Credit,Branch,Engineer,0
371.69,143.0,3484.32,-27445330.0,Old,Debit,Branch,Retired,3
218.96,13.0,754.21,-37295928.0,Young,Debit,ATM,Student,4
227.39,65.0,751.0900000000001,-27184397.0,Young,Debit,Online,Student,4
237.99,86.0,8510.09,-47143585.0,Middle,Credit,Branch,Doctor,0
186.6,13.0,1508.7200000000003,-42219541.0,Old,Debit,Online,Doctor,4
341.15,148.0,511.3699999999999,-54399114.0,Young,Debit,Online,Student,4
434.58,215.0,12648.32,-36689977.0,Old,Debit,ATM,Doctor,2
312.88,44.0,233.21000000000004,-45582873.0,Middle,Credit,Branch,Engineer,0
75.15,154.0,1092.9199999999996,-35649577.0,Young,Debit,ATM,Student,4
23.30000000000001,161.0,6711.15,-38670868.0,Old,Debit,ATM,Engineer,3
47.379999999999995,61.00000000000001,459.3699999999999,-54827338.0,Young,Credit,Online,Student,4
512.81,30.0,6994.34,-40922097.0,Old,Debit,Branch,Retired,1
488.15,168.0,7071.09,-39888613.0,Middle,Debit,Branch,Engineer,2
12.819999999999993,156.0,9045.19,-49987875.0,Middle,Debit,ATM,Engineer,0
66.9,129.0,5238.71,-48957594.0,Old,Credit,Online,Retired,0
535.91,22.0,9642.12,-41959957.0,Middle,Debit,Online,Engineer,2
270.72,53.0,6263.96,-42300605.0,Young,Credit,Online,Engineer,4
97.98000000000002,18.0,7460.33,-55007935.0,Old,Debit,Branch,Retired,0
196.08,98.0,4233.82,-37725243.0,Old,Debit,Online,Retired,3
251.18,246.0,8303.9,-45069404.0,Middle,Debit,ATM,Engineer,3
44.52000000000001,205.0,314.27999999999975,-50679603.0,Young,Debit,Online,Student,4
178.87,180.0,5241.23,-45849982.0,Middle,Debit,Online,Doctor,3
899.4200000000001,174.0,323.6899999999996,-27619422.0,Middle,Credit,ATM,Engineer,1
386.68,128.0,6863.06,-31936707.0,Middle,Debit,Branch,Doctor,2
167.14,20.0,3877.73,-48346377.0,Old,Debit,Online,Retired,0
345.22,253.0,4046.58,-36774709.0,Old,Debit,Branch,Retired,3
74.85,117.0,2409.73,-27183161.0,Old,Debit,ATM,Retired,3
671.73,54.0,5211.88,-33234970.0,Old,Debit,Branch,Engineer,1
255.04,152.0,6217.86,-29951739.0,Middle,Debit,ATM,Engineer,2
45.77000000000001,109.0,5978.12,-54742658.0,Young,Debit,Online,Student,4
329.69,66.0,1671.6599999999999,-57424519.0,Young,Credit,Online,Student,4
362.04,198.0,8421.88,-41700696.0,Old,Credit,Branch,Doctor,3
11.920000000000016,52.0,14611.899999999998,-33834147.0,Middle,Debit,Branch,Doctor,2
47.420000000000016,28.0,8253.52,-27703368.0,Old,Debit,ATM,Doctor,3
35.99000000000001,129.0,4489.79,-56562905.0,Old,Debit,Branch,Retired,0
151.19,96.0,11903.82,-47405200.0,Middle,Credit,Branch,Doctor,2
242.62,234.0,483.0199999999995,-41700414.0,Young,Credit,Online,Student,4
48.72,17.0,816.0799999999999,-34693979.0,Young,Debit,Branch,Student,4
43.46000000000001,80.0,578.0600000000004,-40748883.0,Young,Debit,ATM,Student,4
899.4200000000001,126.0,477.3000000000002,-40742288.0,Young,Debit,Online,Student,1
443.79,87.0,3133.85,-33831792.0,Middle,Debit,ATM,Retired,3
365.14,57.0,5894.09,-29251257.0,Old,Debit,Online,Retired,3
757.41,37.0,9532.42,-47403430.0,Young,Debit,ATM,Student,1
20.54000000000002,72.0,5327.03,-38066284.0,Middle,Debit,Branch,Engineer,0
475.36,105.0,2000.6,-34445030.0,Middle,Debit,ATM,Engineer,3
34.74000000000001,24.0,6827.57,-42910242.0,Old,Debit,ATM,Retired,0
689.54,93.0,1633.7600000000002,-52586516.0,Young,Debit,Branch,Student,4
211.18,90.0,4069.17,-33235323.0,Old,Debit,ATM,Retired,3
211.36,286.0,7943.47,-30124049.0,Middle,Credit,Branch,Engineer,2
744.41,107.0,8842.47,-39886528.0,Middle,Credit,Online,Engineer,1
61.43000000000001,170.0,1882.77,-42652301.0,Young,Debit,Online,Student,4
167.44,82.0,12526.71,-35049571.0,Middle,Debit,Branch,Doctor,2
361.46,83.0,4737.84,-49819657.0,Young,Debit,Online,Student,4
378.85,126.0,2300.53,-43771672.0,Old,Debit,Branch,Retired,4
241.11,55.0,12385.05,-43774166.0,Young,Debit,Branch,Doctor,0
131.93,13.0,4547.06,-36254140.0,Young,Credit,Branch,Engineer,4
20.28000000000003,213.0,2047.83,-40919244.0,Middle,Debit,Online,Engineer,3
415.88,170.0,10008.33,-48091065.0,Old,Debit,Branch,Doctor,2
49.99000000000001,112.0,2299.64,-54742456.0,Old,Debit,ATM,Retired,0
899.4200000000001,153.0,243.92000000000007,-34874106.0,Young,Debit,Online,Student,1
100.66,144.0,14473.329999999998,-34874179.0,Middle,Debit,Branch,Doctor,2
485.54,148.0,1533.3199999999997,-28653801.0,Young,Debit,Online,Student,1
321.15,179.0,7005.05,-54658793.0,Middle,Debit,Branch,Doctor,0
711.3,51.0,955.3999999999996,-42901915.0,Young,Debit,Branch,Student,1
12.230000000000018,139.0,7844.88,-33581116.0,Middle,Debit,ATM,Engineer,2
350.94,64.0,221.5600000000004,-32021564.0,Young,Debit,ATM,Student,4
301.85,25.0,6586.19,-48867975.0,Middle,Debit,Online,Engineer,0
29.340000000000003,30.0,3944.82,-52324474.0,Old,Debit,Online,Retired,0
231.71,148.0,1127.9799999999996,-48351954.0,Young,Debit,Branch,Student,4
179.43,244.0,2626.63,-38929752.0,Old,Debit,ATM,Retired,3
36.71000000000001,55.0,6459.38,-55609191.0,Middle,Debit,Branch,Doctor,0
138.12,281.0,1649.69,-49474353.0,Middle,Credit,Branch,Doctor,3
233.24,72.0,6939.23,-48957093.0,Middle,Debit,ATM,Engineer,0
609.14,177.0,9033.87,-29952114.0,Middle,Debit,ATM,Engineer,2
436.64,111.0,14365.18,-27181319.0,Young,Debit,Branch,Doctor,2
870.4299999999998,55.0,10115.18,-45155612.0,Young,Debit,Branch,Doctor,1
354.4,128.0,7358.65,-31416412.0,Old,Debit,ATM,Retired,3
22.629999999999995,112.0,4438.03,-53793761.0,Middle,Debit,Online,Engineer,0
182.19,53.0,1176.0999999999995,-43515002.0,Young,Debit,Branch,Student,4
126.81,290.0,5427.98,-32022861.0,Young,Debit,Branch,Engineer,3
288.17,50.0,3653.11,-36516085.0,Middle,Debit,Online,Engineer,3
118.76999999999998,123.0,2104.82,-34439184.0,Middle,Debit,Branch,Engineer,3
651.82,166.0,1802.77,-49212439.0,Young,Debit,ATM,Student,1
66.65,33.0,3559.96,-33145921.0,Middle,Debit,ATM,Engineer,0
98.53,166.0,3564.8,-56821171.0,Old,Debit,Branch,Retired,0
138.95,30.0,6752.92,-44983194.0,Old,Debit,Online,Retired,0
33.890000000000015,177.0,1444.75,-31075262.0,Young,Debit,Branch,Student,4
23.70999999999998,164.0,10788.89,-35654664.0,Old,Debit,Branch,Doctor,2
899.4200000000001,238.0,2235.7,-53019601.0,Middle,Debit,Online,Engineer,1
26.060000000000002,283.0,12893.63,-27529836.0,Old,Debit,ATM,Doctor,2
17.069999999999993,44.0,2798.15,-47746453.0,Young,Debit,Branch,Engineer,4
703.89,62.0,3583.67,-35306669.0,Middle,Debit,Online,Engineer,1
899.4200000000001,155.0,2120.8,-37466772.0,Middle,Debit,ATM,Engineer,1
26.55000000000001,228.0,3085.38,-35476917.0,Old,Debit,ATM,Retired,3
147.4,259.0,6797.71,-44380587.0,Middle,Debit,Branch,Engineer,3
202.11,18.0,746.4700000000003,-50515235.0,Young,Debit,ATM,Student,4
308.42,39.0,5427.81,-47663532.0,Old,Debit,Branch,Retired,0
11.180000000000007,144.0,7467.3,-53191889.0,Middle,Debit,ATM,Engineer,0
294.15,136.0,6362.16,-55352869.0,Middle,Debit,Online,Engineer,0
